id;koatuu;name;type;oblast;raion;hromada
UA01020010010075540;8536990201;Андріївка;село;Автономна Республіка Крим;Бахчисарайський;Андріївська
UA01020010020030666;8536990203;Сонячний;селище;Автономна Республіка Крим;Бахчисарайський;Андріївська
UA01020030010043419;0120480401;Ароматне;село;Автономна Республіка Крим;Бахчисарайський;Ароматненська
UA01020030020095516;0120480402;Вікторівка;село;Автономна Республіка Крим;Бахчисарайський;Ароматненська
UA01020030030055891;0120480403;Маловидне;село;Автономна Республіка Крим;Бахчисарайський;Ароматненська
UA01020030040087481;0120480404;Рєпіне;село;Автономна Республіка Крим;Бахчисарайський;Ароматненська
UA01020030050049624;0120480405;Розове;село;Автономна Республіка Крим;Бахчисарайський;Ароматненська
UA01020050010045207;0120410100;Бахчисарай;місто;Автономна Республіка Крим;Бахчисарайський;Бахчисарайська
UA01020050020067441;0120445100;Научний;селище міського типу;Автономна Республіка Крим;Бахчисарайський;Бахчисарайська
UA01020070010032091;8536990501;Верхньосадове;село;Автономна Республіка Крим;Бахчисарайський;Верхньосадівська
UA01020070020014815;8536990503;Дальнє;село;Автономна Республіка Крим;Бахчисарайський;Верхньосадівська
UA01020070030047085;8536990504;Камишли;село;Автономна Республіка Крим;Бахчисарайський;Верхньосадівська
UA01020070040094944;8536990505;Пироговка;село;Автономна Республіка Крим;Бахчисарайський;Верхньосадівська
UA01020070050086891;8536990507;Поворотне;село;Автономна Республіка Крим;Бахчисарайський;Верхньосадівська
UA01020070060053271;8536990509;Фронтове;село;Автономна Республіка Крим;Бахчисарайський;Верхньосадівська
UA01020070070045196;8536990511;Фруктове;село;Автономна Республіка Крим;Бахчисарайський;Верхньосадівська
UA01020090010083010;0120480801;Верхоріччя;село;Автономна Республіка Крим;Бахчисарайський;Верхоріченська
UA01020090020067096;0120480802;Баштанівка;село;Автономна Республіка Крим;Бахчисарайський;Верхоріченська
UA01020090030041920;0120480803;Кудрине;село;Автономна Республіка Крим;Бахчисарайський;Верхоріченська
UA01020090040049851;0120480804;Машине;село;Автономна Республіка Крим;Бахчисарайський;Верхоріченська
UA01020090050034207;0120480806;Передущельне;село;Автономна Республіка Крим;Бахчисарайський;Верхоріченська
UA01020090060030677;0120480807;Синапне;село;Автономна Республіка Крим;Бахчисарайський;Верхоріченська
UA01020110010021583;0120481301;Віліне;село;Автономна Республіка Крим;Бахчисарайський;Вілінська
UA01020110020095792;0120481302;Розсадне;село;Автономна Республіка Крим;Бахчисарайський;Вілінська
UA01020130010087113;0120481901;Голубинка;село;Автономна Республіка Крим;Бахчисарайський;Голубинська
UA01020130020090866;0120481902;Аромат;село;Автономна Республіка Крим;Бахчисарайський;Голубинська
UA01020130030030071;0120481903;Багата Ущелина;село;Автономна Республіка Крим;Бахчисарайський;Голубинська
UA01020130040048667;0120481904;Нижня Голубинка;село;Автономна Республіка Крим;Бахчисарайський;Голубинська
UA01020130050032578;0120481905;Новопілля;село;Автономна Республіка Крим;Бахчисарайський;Голубинська
UA01020130060054004;0120481906;Поляна;село;Автономна Республіка Крим;Бахчисарайський;Голубинська
UA01020130070069789;0120481907;Путилівка;село;Автономна Республіка Крим;Бахчисарайський;Голубинська
UA01020130080078137;0120481908;Соколине;село;Автономна Республіка Крим;Бахчисарайський;Голубинська
UA01020130090090603;0120481909;Сонячносілля;село;Автономна Республіка Крим;Бахчисарайський;Голубинська
UA01020150010060092;0120482201;Долинне;село;Автономна Республіка Крим;Бахчисарайський;Долинненська
UA01020150020085470;0120482203;Актачи;село;Автономна Республіка Крим;Бахчисарайський;Долинненська
UA01020150030038136;0120482202;Новеньке;село;Автономна Республіка Крим;Бахчисарайський;Долинненська
UA01020170010043902;0120482501;Залізничне;село;Автономна Республіка Крим;Бахчисарайський;Залізничненська
UA01020170020089142;0120482502;Білокам’яне;село;Автономна Республіка Крим;Бахчисарайський;Залізничненська
